[REFCODE]	[_publ_authors]	[_journal_name_full]	[_journal_volume]	[_journal_pages]	[_journal_year]	[_chemical_formula_moiety]	[_chemical_name_systematic]	[_chemical_name_common]	[_chemical_compound_source]	[_chemical_melting_point]	[_exptl_crystal_colour]	[_chemical_QUAL]	[_chemical_NOTE]	[_symmetry_space_group_name]	[_symmetry_Int_Tables_number]	[_cell_length_a]	[_cell_length_b]	[_cell_length_c]	[_cell_angle_alpha]	[_cell_angle_beta]	[_cell_angle_gamma]	[_cell_volume]	[_rcell_length_a]	[_rcell_length_b]	[_rcell_length_c]	[_rcell_angle_alpha]	[_rcell_angle_beta]	[_rcell_angle_gamma]	[_rcell_volume]	[_molecular_volume]	[_cell_RESIDUES]	[_cell_formula_units_Z]	[_cell_formula_units_Zprime]	[_exptl_crystal_preparation]	[_exptl_crystal_description]	[POLYMORPH]	[_exptl_crystal_NOTES]	[_refine_ls_R_factor]	[_cell_measurement_temperature]	[_exptl_crystal_density_CCDC]	[_exptl_crystal_density_diffrn]	[_diffrn_measurement_device]	[_exptl_DISORDER]	[_exptl_QUAL]	[_ccdc_REMARK]	
QEBQIA	Jian-Qiang Guo, Yin-Xia Sun, Bin Yu, Jing Li, Hao-Ran Jia	Wuji Huaxue Xuebao(Chin.)(Chin.J.Inorg.Chem.) 	33	1481	2017	C44 H34 Cl4 Cu1 N4 O4	bis(2-(((4-(N-(benzyloxy)ethanimidoyl)phenyl)imino)methyl)-4,6-dichlorophenolato)-copper(ii)				brown			C2/c	15	27.1877	13.2199	22.2556	90.0	92.069	90.0	7993.863	13.2199	15.11569	22.2556	91.8606	90.0	115.9311	3996.932	999.232875	1	8.0	1.0		block			5.4	293	1.476	1.476	3		293 K		
QEBZEC	K.E.Frank, J.Aube	J.Org.Chem. 	65	655	2000	C16 H12 Cl4 N2 O1	3-Benzyl-6-chloro-4-(trichloromethyl)-3,4-dihydroquinazolin-2(1H)-one							P-1	2	13.129	13.145	10.906	96.49	96.89	108.52	1748.821	10.906	13.129	13.145	108.52	96.49	96.89	1748.821	437.20525	1	4.0	2.0		prism			5.8	295	1.482	1.497	3				
QECDEJ	R.Meijboom, L.Kirsten, T.Mbhele	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	68	m1229	2012	C36 H24 Cl8 P2 Pt1,C2 H3 N1	cis-Dichlorido-bis(tris(4-chlorophenyl)phosphane-kappaP)-platinum(ii) acetonitrile solvate				colorless			P21/c	14	13.3604	14.495	23.007	90.0	120.694	90.0	3831.321	13.3604	14.495	19.84978	90.0	94.6709	90.0	3831.322	957.83025	2	4.0	1.0	acetonitrile	plate			2.32	100	1.8	1.8	3				
QECLAN	H.-K.Fun, T.S.Chia, K.Jyothi, P.Hegde, P.R.D'Souza	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	68	o2626	2012	C8 H8 Cl1 N1 O3 S1	N-((4-Chlorophenyl)sulfonyl)acetamide				colorless			P2/c	13	12.1801	9.2529	17.6769	90.0	101.979	90.0	1948.826	9.2529	12.1801	17.6769	101.979	90.0	90.0	1948.826	243.60325	1	8.0	2.0		block			2.8	100	1.593	1.593	3				
QECREX	H.-K.Fun, C.K.Quah, P.S.Nayak, B.Narayana, B.K.Sarojini	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	68	o2659	2012	C20 H14 Cl3 N1 O1	2,2-Diphenyl-N-(2,4,5-trichlorophenyl)acetamide				colorless			Pbca	61	18.663	17.1713	22.5648	90.0	90.0	90.0	7231.296	17.1713	18.663	22.5648	90.0	90.0	90.0	7231.296	451.956	1	16.0	2.0		needle			4.67	100	1.435	1.435	3				
QEDLES	G.Waris, H.M.Siddiqi, U.Florke, M.S.Butt, R.Hussain	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	68	o2768	2012	C13 H9 Cl1 N2 O3	N-(4-Chlorophenyl)-4-nitrobenzamide				yellow			P21/n	14	9.6019	13.0688	9.6412	90.0	103.853	90.0	1174.639	9.6019	9.6412	13.0688	90.0	90.0	103.853	1174.639	293.65975	1	4.0	1.0	ethanol/tetrahydrofuran	prism			4.22	130	1.565	1.564	3			Melting point given as 141K in the cif	
QEDSUN	C.Turk, J.Svete, B.Stanovnik, L.Golic, S.Golic-Grdadolnik, A.Golobic, L.Selic	Helv.Chim.Acta 	84	146	2001	C12 H12 Cl2 N2 O1	(1Z)-1-((2,6-Dichlorophenyl)methylidene)-5,5-dimethyl-3-oxopyrazolidin-1-ium-2-ide			246-248deg.C	colorless			P21/c	14	11.63	8.343	13.069	90.0	96.49	90.0	1259.947	8.343	11.63	13.069	96.49	90.0	90.0	1259.947	314.98675	1	4.0	1.0		prism			3.6	295	1.429	1.429	3				
QEJHUI	B.Potter, R.A.Palmer, R.Withnall, M.J.Leach, B.Z.Chowdhry	J.Chem.Cryst. 	29	701	1999	C9 H8 Cl2 N5 1+,C2 H5 O4 S1 1-	3,5-Diamino-6-(2,3-dichlorophenyl)-1,2,4-triazine 2-hydroxyethanesulfonic acid	Lamotrigine isoethionate			colorless	potential antiepileptic drug		I41/a	88	19.684	19.684	16.557	90.0	90.0	90.0	6415.173	16.19455	16.19455	16.19455	105.1481	105.1481	118.5137	3207.588	400.9483125	2	16.0	1.0	methylated spirit	needle			5.32	295	1.583	1.579	3			z(C5') is 0.10356 as given in the supplementary data, not 0.0636 as given in the paper	
QEJVOQ	P.Desjardins, G.P.A.Yap, R.J.Crutchley	Inorg.Chem. 	38	5901	1999	C34 H28 Cl2 N8 Ru1,C3 H6 O1	trans-Tetrapyridyl-bis(2-chlorophenylcyanamido)-ruthenium(ii) acetone solvate							C2/c	15	40.6441	9.2003	22.6946	90.0	116.387	90.0	7602.199	9.2003	20.8362	22.6946	115.6877	90.0	102.7547	3801.098	950.274875	2	8.0	1.0	water/acetone	block			6.0	295	1.361	1.361	3				
QEKQOP	M.N.Penas-Defrutos, C.Bartolome, M.Garcia-Melchor, P.Espinet	Chem.Commun. 	54	984	2018	C32 H32 Cl4 F6 O2 Rh2	bis(mu-hydroxo)-bis(3,5-dichloro-2,4,6-trifluorophenyl)-bis(pentamethyl-cyclopentadienyl)-di-rhodium				red			P-1	2	11.1207	11.2919	16.0905	89.827	70.323	65.775	1713.398	11.1207	11.2919	16.0905	89.827	70.323	65.775	1713.398	856.699	1	2.0	1.0		prism			3.73	294	1.764	1.764	3		294 K		
QELWAI	Fei-Fan Chang, Lei Zhang, Pei-Chen Zhao, Wei Huang	Inorg.Chem. 	57	1438	2018	2(C28 H34 Cl4 Cu2 N3 O4 1+),Cd1 Cl4 2-	bis{bis(mu-chloro)-[mu-7,24-dichloro-3-cyclohexyl-14,17-dioxa-3,11,20-triazatricyclo[20.3.1.1$5,9!]heptacosa-1(26),5(27),6,8,10,20,22,24-octaene-26,27-diolato]-di-copper} tetrachloro-cadmium				green			P21/n	14	13.3404	21.1129	23.2109	90.0	92.976	90.0	6528.639	13.3404	21.1129	23.2109	90.0	92.976	90.0	6528.639	1632.15975	2	4.0	1.0		block			5.24	291	1.776	1.775	3		291 K		
QELWEK	A.V.Shevtsov, V.V.Kuznetsov, S.I.Molotov, K.A.Lyssenko, N.N.Makhova	Izv.Akad.Nauk SSSR,Ser.Khim.(Russ.)(Russ.Chem.Bull.) 		534	2006	C16 H20 Cl1 N3 O2	1,2-Dimethyl-5,5-pentamethylene-4-(4-chlorobenzoyl)-1,2,4-triazolidin-3-one			138-140deg.C	colorless			Pbca	61	9.337	11.309	29.711	90.0	90.0	90.0	3137.248	9.337	11.309	29.711	90.0	90.0	90.0	3137.248	392.156	1	8.0	1.0	hexane				3.93	193	1.363	1.363	3			The cell values from the CIF have been used, in the paper values a and c have been swapped	
QELYUC	Feng-Ling Yang, Gong-Chun Li	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	62	o3405	2006	C18 H14 Cl2 N2 O2	1,3-bis(4-Chlorobenzyl)pyrimidine-2,4(1H,3H)-dione				colorless			C2/c	15	28.118	8.941	14.291	90.0	108.047	90.0	3416.045	8.941	14.291	14.75266	107.1714	107.6397	90.0	1708.023	427.005625	1	8.0	1.0	ethanol	block			3.86	294	1.405	1.405	3		at 294 K		
QEQFUQ	K.P.Carter, S.J.A.Pope, M.Kalaj, R.J.Holmberg, M.Murugesu, C.L.Cahill	Z.Anorg.Allg.Chem. 	643	1948	2017	C66 H28 Cl18 N4 O12 Sm2	bis(1,10-phenanthroline)-tetrakis(mu-2,4,6-trichlorobenzoato)-bis(2,4,6-trichlorobenzoato)-di-samarium				colorless			P-1	2	12.1756	12.2082	13.3569	111.798	97.556	102.236	1752.561	12.1756	12.2082	13.3569	111.798	97.556	102.236	1752.561	1752.561	1	1.0	0.5	Hydrothermal	Plate			1.89	100	1.902	1.902	3				
QEQGAX	K.P.Carter, S.J.A.Pope, M.Kalaj, R.J.Holmberg, M.Murugesu, C.L.Cahill	Z.Anorg.Allg.Chem. 	643	1948	2017	C66 H28 Cl18 Eu2 N4 O12	bis(1,10-phenanthroline)-tetrakis(mu-2,4,6-trichlorobenzoato)-bis(2,4,6-trichlorobenzoato)-di-europium				colorless			P-1	2	12.1482	12.1863	13.3646	111.76	97.749	102.065	1747.156	12.1482	12.1863	13.3646	111.76	97.749	102.065	1747.156	1747.156	1	1.0	0.5	Hydrothermal	Plate			3.22	100	1.911	1.911	3				
QEQGEB	K.P.Carter, S.J.A.Pope, M.Kalaj, R.J.Holmberg, M.Murugesu, C.L.Cahill	Z.Anorg.Allg.Chem. 	643	1948	2017	C66 H28 Cl18 Gd2 N4 O12	bis(1,10-phenanthroline)-tetrakis(mu-2,4,6-trichlorobenzoato)-bis(2,4,6-trichlorobenzoato)-di-gadolinium				colorless			P-1	2	12.1293	12.1664	13.3757	111.683	97.87	101.984	1743.95	12.1293	12.1664	13.3757	111.683	97.87	101.984	1743.95	1743.95	1	1.0	0.5	Hydrothermal	Plate			2.32	100	1.925	1.925	3				
QEQGIF	K.P.Carter, S.J.A.Pope, M.Kalaj, R.J.Holmberg, M.Murugesu, C.L.Cahill	Z.Anorg.Allg.Chem. 	643	1948	2017	C66 H28 Cl18 N4 O12 Tb2	bis(1,10-phenanthroline)-tetrakis(mu-2,4,6-trichlorobenzoato)-bis(2,4,6-trichlorobenzoato)-di-terbium				colorless			P-1	2	12.1167	12.1389	13.3851	111.68	98.049	101.857	1739.23	12.1167	12.1389	13.3851	111.68	98.049	101.857	1739.23	1739.23	1	1.0	0.5	Hydrothermal	Plate			4.07	100	1.933	1.933	3				
QEQGOL	K.P.Carter, S.J.A.Pope, M.Kalaj, R.J.Holmberg, M.Murugesu, C.L.Cahill	Z.Anorg.Allg.Chem. 	643	1948	2017	C66 H28 Cl18 Dy2 N4 O12	bis(1,10-phenanthroline)-tetrakis(mu-2,4,6-trichlorobenzoato)-bis(2,4,6-trichlorobenzoato)-di-dysprosium				colorless			P-1	2	12.0799	12.1173	13.369	111.686	98.061	101.599	1731.085	12.0799	12.1173	13.369	111.686	98.061	101.599	1731.085	1731.085	1	1.0	0.5	Hydrothermal	Plate			2.73	100	1.949	1.949	3				
QEQGUR	K.P.Carter, S.J.A.Pope, M.Kalaj, R.J.Holmberg, M.Murugesu, C.L.Cahill	Z.Anorg.Allg.Chem. 	643	1948	2017	C66 H28 Cl18 Ho2 N4 O12	bis(1,10-phenanthroline)-tetrakis(mu-2,4,6-trichlorobenzoato)-bis(2,4,6-trichlorobenzoato)-di-holmium				colorless			P-1	2	12.0965	12.0974	13.4071	111.562	98.376	101.696	1733.762	12.0965	12.0974	13.4071	111.562	98.376	101.696	1733.762	1733.762	1	1.0	0.5	Hydrothermal	Plate			3.28	100	1.951	1.951	3				
QEQHAY	K.P.Carter, S.J.A.Pope, M.Kalaj, R.J.Holmberg, M.Murugesu, C.L.Cahill	Z.Anorg.Allg.Chem. 	643	1948	2017	C66 H28 Cl18 Er2 N4 O12	bis(1,10-phenanthroline)-tetrakis(mu-2,4,6-trichlorobenzoato)-bis(2,4,6-trichlorobenzoato)-di-erbium				colorless			P-1	2	12.0743	12.079	13.4133	98.507	111.55	101.596	1728.78	12.0743	12.079	13.4133	98.507	111.55	101.596	1728.78	1728.78	1	1.0	0.5	Hydrothermal	Plate			3.82	100	1.961	1.961	3				
QEQHEC	K.P.Carter, S.J.A.Pope, M.Kalaj, R.J.Holmberg, M.Murugesu, C.L.Cahill	Z.Anorg.Allg.Chem. 	643	1948	2017	C66 H28 Cl18 N4 O12 Tm2	bis(1,10-phenanthroline)-tetrakis(mu-2,4,6-trichlorobenzoato)-bis(2,4,6-trichlorobenzoato)-di-thulium				colorless			P-1	2	12.0605	12.0645	13.4156	98.655	111.502	101.484	1725.532	12.0605	12.0645	13.4156	98.655	111.502	101.484	1725.532	1725.532	1	1.0	0.5	Hydrothermal	Plate			2.45	100	1.968	1.968	3				
QEQHIG	K.P.Carter, S.J.A.Pope, M.Kalaj, R.J.Holmberg, M.Murugesu, C.L.Cahill	Z.Anorg.Allg.Chem. 	643	1948	2017	C66 H28 Cl18 N4 O12 Yb2	bis(1,10-phenanthroline)-tetrakis(mu-2,4,6-trichlorobenzoato)-bis(2,4,6-trichlorobenzoato)-di-ytterbium				colorless			P-1	2	12.0459	12.0538	13.4306	98.796	111.515	101.379	1723.457	12.0459	12.0538	13.4306	98.796	111.515	101.379	1723.457	1723.457	1	1.0	0.5	Hydrothermal	Plate			2.48	100	1.978	1.978	3				
QEQHOM	K.P.Carter, S.J.A.Pope, M.Kalaj, R.J.Holmberg, M.Murugesu, C.L.Cahill	Z.Anorg.Allg.Chem. 	643	1948	2017	C66 H28 Cl18 Lu2 N4 O12	bis(1,10-phenanthroline)-tetrakis(mu-2,4,6-trichlorobenzoato)-bis(2,4,6-trichlorobenzoato)-di-lutetium				colorless			P-1	2	12.0278	12.0456	13.432	98.857	111.466	101.346	1720.363	12.0278	12.0456	13.432	98.857	111.466	101.346	1720.363	1720.363	1	1.0	0.5	Hydrothermal	Plate			2.61	100	1.986	1.985	3				
QERTAJ	Xue-Qun Xie, Chun-Long Yang, Qian-Jin Li, Jin-Xiang Luo	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	62	m3096	2006	C24 H22 Cl6 N6 O4 Zn1	Dichloro-bis(1-(2-(2,4-dichlorophenyl)-1,3-dioxolan-2-ylmethyl)-1H-1,2,4-triazole-kappaN$4!)-zinc(ii)			459 K	colorless			C2	5	16.662	5.5801	16.295	90.0	103.958	90.0	1470.303	5.5801	8.78578	16.295	103.222	90.0	108.5157	735.151	735.1515	1	2.0	0.5		prism			4.8	298	1.664	1.664	3		at 298 K		
QERTIR01	Meng-Yang Chang, Chieh-Kai Chan, Yi-Chia Chen	Heterocycles 	89	1229	2014	C13 H9 Cl1 N2	2-(4-Chlorophenyl)-1H-benzimidazole				colorless			Pbca	61	9.1642	9.7348	23.5043	90.0	90.0	90.0	2096.857	9.1642	9.7348	23.5043	90.0	90.0	90.0	2096.857	262.107125	1	8.0	1.0					3.05	100	1.449	1.449	3				
QESCIB	Mohd Mustaqim Rosli, P.S.Patil, H.-K.Fun, Ibrahim Abdul Razak, V.G.Puranik, S.M.Dharmaprakash	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	62	o4773	2006	C16 H12 Cl2 O2	3-(2,4-Dichlorophenyl)-1-(4-methoxyphenyl)prop-2-en-1-one				yellow			Pbca	61	7.1676	11.1505	34.6112	90.0	90.0	90.0	2766.208	7.1676	11.1505	34.6112	90.0	90.0	90.0	2766.208	345.776	1	8.0	1.0	acetone	block			4.9	295	1.475	1.475	3				
QETDAU	P.Thuery, M.Nierlich, J.Vicens, B.Masci, H.Takemura	Eur.J.Inorg.Chem. 		637	2001	C45 H42 Cl3 N5 O11 U1,C5 H5 N1,C1 H1 Cl3	Dinitrato-dioxo-(5$2!,9$2!-dioxy-1$2!-hydroxy-3,7,11-tribenzyl-1$5!,5$5!,9$5!-trichloro-3,7,11-triaza-1,5,9(1,3)-tribenzenacyclododecaphane)-uranium pyridine chloroform solvate	Dinitrato-dioxo-(p-chloro-N-benzylhexahomotriazacalix(3)arene)-uranium pyridine chloroform solvate			dark red			Cc	9	9.3345	25.2831	22.9242	90.0	94.634	90.0	5392.543	9.3345	13.47561	22.9242	88.3966	85.366	69.7359	2696.272	1348.13575	3	4.0	1.0	pyridine	platelet			4.99	100	1.69	1.69	3				
QETXIW	I.Ratera, D.Ruiz-Molina, J.Vidal-Gancedo, K.Wurst, N.Daro, J.-F.Letard, C.Rovira, J.Veciana	Angew.Chem.,Int.Ed. 	40	919	2001	C30 H16 Cl8 Fe1 N1	trans-((4-(bis(2,4,6-Trichlorophenyl)methyl)-3,5-dichlorophenyl)iminomethyl)ferrocene radical				brown			P21/n	14	8.19	29.539	12.1065	90.0	91.021	90.0	2928.393	8.19	12.1065	29.539	90.0	90.0	91.021	2928.393	732.09825	1	4.0	1.0	carbon tetrachloride/hexanes	platelet			3.96	218	1.656	1.656	3				
QEWBUS	H.Sakiyama, S.Takahata, N.Kashimoto, Ryoji Mitsuhashi, A.M.Mikuriya	X-ray.Str.Anal.Online. 	33	75	2017	C28 H44 Cl2 Mg2 N4 O6 2+,2(C24 H20 B1 1-),2(C3 H6 O1),2(H2 O1)	bis(mu-4-chloro-2,6-bis{[(2-hydroxyethyl)(methyl)amino]methyl}phenolato)-di-magnesium bis(tetraphenylborate) acetone solvate dihydrate				colorless			C2/c	15	22.7667	19.1628	17.3218	90.0	96.15	90.0	7513.554	14.87897	14.87897	17.3218	85.2986	85.2986	80.1748	3756.774	1878.3885	4	4.0	0.5		block			4.18	273	1.275	1.275	3				
QEWHUY	S.Rakhshani, A.R.Rezvani, M.Dusek, V.Eigner	Appl.Organomet.Chem. 	32	e4342	2018	C10 H11 Cl1 N2 O2 S1	2-chloro-N-[(2-hydroxyethyl)carbamothioyl]benzamide				colorless			P-1	2	4.5487	10.3397	12.4969	78.052	88.006	89.013	574.645	4.5487	10.3397	12.4969	78.052	88.006	89.013	574.645	287.3225	1	2.0	1.0		block			2.65	120	1.495	1.495	3				
QEWROB	Y.Kia, H.Osman, R.S.Kumar, V.Murugaiyah, A.Basiri, S.Perumal, I.A.Razak	Bioorg.Med.Chem.Lett. 	23	2979	2013	C36 H34 Cl1 N3 O3	2'-((3,5-bis(4-Methylbenzylidene)-4-oxopiperidin-1-yl)carbonyl)-5-chloro-1',2',5',6',7',7a'-hexahydrospiro[indole-3,3'-pyrrolizin]-2(1H)-one			173 deg.C	yellow			P-1	2	7.8821	12.2912	15.9425	85.701	79.894	85.048	1512.058	7.8821	12.2912	15.9425	85.701	79.894	85.048	1512.058	756.029	1	2.0	1.0		plate			4.49	100	1.301	1.301	3				
QEXCUR01	R.V.Krishnakumar, M.S.Nandhini, S.Renuga, S.Natarajan, S.Selvaraj, S.Perumal	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	58	o504	2002	C30 H20 Cl2 O4 S1	2,2'-Thiobis(2-benzoyl-3-(4-chlorophenyl)oxirane)			157.0deg.C	colorless			P21/c	14	14.0724	16.3184	11.768	90.0	103.66	90.0	2625.953	11.768	14.0724	16.3184	90.0	90.0	103.66	2625.953	656.48825	1	4.0	1.0	methanol	needle			4.4	293	1.385	1.385	3		at 293 K		
QEXPIT	Qian-Jin Li, Chun-Long Yang, Xue-Qun Xie	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	63	o773	2007	C15 H9 Cl5 N2 O2 S1	N-(2,4-Dichlorophenoxyacetyl)-N'-(2,4,6-trichlorophenyl)thiourea				colorless			P43	78	7.958	7.958	29.249	90.0	90.0	90.0	1852.332	7.958	7.958	29.249	90.0	90.0	90.0	1852.332	463.083	1	4.0	1.0	DMF	prism			5.74	293	1.644	1.644	3		at 293 K		
QEXVEV	P.V.Pasternak, V.I.Dyachenko, Z.A.Starikova, A.S.Peregudov, M.Yu.Antipin, N.D.Chkanikov	Izv.Akad.Nauk SSSR,Ser.Khim.(Russ.)(Russ.Chem.Bull.) 		1259	2006	C15 H10 Cl1 F6 N3	6-Methyl-4,4-bis(trifluoromethyl)-2-(4-chlorophenylamino)-1,4-dihydropyridine-3-carbonitrile			130-131deg.C	grey			P21/c	14	6.821	12.788	18.434	90.0	97.002	90.0	1595.949	6.821	12.788	18.434	90.0	97.002	90.0	1595.949	398.98725	1	4.0	1.0					4.27	120	1.589	1.589	3				
QEYPOB	C.V.Ramana, Y.Goriya, K.A.Durugkar, S.Chatterjee, S.Krishnaswamy, R.G.Gonnade	CrystEngComm 	15	5283	2013	C14 H9 Cl1 N4 O2	4-(2-Chlorophenyl)-1-(4-nitrophenyl)-1H-1,2,3-triazole			214-216 deg.C	yellow			P-1	2	7.013	7.312	13.309	94.793	96.114	107.261	643.246	7.013	7.312	13.309	94.793	96.114	107.261	643.246	321.623	1	2.0	1.0		plate			5.27	297	1.553	1.553	3		at 297 K		
QIFKAS01	M.B.Hursthouse, L.Susanne Huth, T.L.Threlfall	Org.Process Res.Dev. 	13	1231	2009	C11 H14 Cl1 N1 O1	N-(4-chlorophenyl)-2,2-dimethylpropanamide	para-Chloro-t-butylanilide			colorless			Pbca	61	9.7381	10.0151	22.9501	90.0	90.0	90.0	2238.278	9.7381	10.0151	22.9501	90.0	90.0	90.0	2238.278	279.78475	1	8.0	1.0		cut rod			3.31	120	1.256	1.256	3				
QIJHUM	T.Glowiak, I.Majerz, L.Sobczyk, B.Brzezinski, G.Wojciechowski, E.Grech	J.Mol.Struct. 	526	177	2000	C8 H16 N3 1+,C6 Cl5 O1 1-,C6 H1 Cl5 O1	7-Methyl-1,5,7-triazabicyclo(4.4.0)dec-5-ene bis(pentachlorophenol)							C2/c	15	33.256	9.935	15.714	90.0	95.12	90.0	5171.164	9.935	15.714	17.35415	94.9052	106.6332	90.0	2585.582	646.3955	3	8.0	1.0					2.76	100	1.762	1.762	3				
QIKBIV	M.Bolte, A.Degen, S.Ruhl	Acta Crystallogr.,Sect.C:Cryst.Struct.Commun. 	57	444	2001	C23 H26 Cl2 O4	9-(2,6-Dichlorophenyl)-4a-hydroxy-3,3,6,6-tetramethyl-1,2,3,4,4a,5,6,7,8,9a-decahydroxanthene-1,8-dione				colorless			P-1	2	11.936	12.969	16.204	74.5	90.16	65.5	2180.944	11.936	12.969	16.204	105.5	90.16	114.5	2180.944	545.236	1	4.0	2.0		block			7.87	173	1.332	1.332	3			The crystal contains two cis and two trans stereoisomeric molecules (two enantiomeric pairs of diastereoisomers)	
QIKNUT02	B.Omondi, M.A.Fernandes, M.Layh, D.C.Levendis, J.L.Look, T.S.P.Mkwizu	CrystEngComm 	7	690	2005	C7 H5 Cl2 N1 O1	2,6-Dichloro-N-phenylformamide				colorless			P21/n	14	4.3539	13.406	14.073	90.0	92.616	90.0	820.562	4.3539	13.406	14.073	90.0	92.616	90.0	820.562	205.1405	1	4.0	1.0	sublimation	needle	monoclinic high temperature 	phase transition at room temperature to orthorhombic polymorph	4.85	293	1.538	1.538	3		at 293 K		
QILLIG01	H.Hartung, A.Stettler, W.Weissflog	J.Mol.Struct. 	526	31	2000	C46 H46 Cl2 N2 O6	4,6-dichloro-1,3-phenylene bis(4-(4-n-hexyloxy-phenyliminomethyl)benzoate)				light yellow			P-1	2	8.34	13.143	19.364	96.36	93.33	103.067	2047.264	8.34	13.143	19.364	96.36	93.33	103.067	2047.264	1023.632	1	2.0	1.0	ethanol	prism			4.61	220	1.288	1.288	3				
QIMKOP	L.R.Gomes, J.N.Low, A.B.Turner, G.J.R.Watson, T.C.Baddeley, J.L.Wardell	Z.Krist.Cryst.Mater. 	233	761	2018	C13 H13 Cl1 O4	7-(4-chlorophenyl)-4,7-dioxoheptanoic acid				yellow			P21/n	14	11.6548	5.3238	19.9736	90.0	90.395	90.0	1239.289	5.3238	11.6548	19.9736	90.395	90.0	90.0	1239.289	309.82225	1	4.0	1.0		lath			3.18	100	1.44	1.44	3				
QIPPEK	D.K.Rittenberg, K.Sugiura, A.M.Arif, Y.Sakata, C.D.Incarvito, A.L.Rheingold, J.S.Miller	Chem.-Eur.J. 	6	1811	2000	C59 H29 Cl4 Mn1 N11,C7 H8	beta-5,10,15,20-tetrakis(4-Chlorophenyl)porphyrinato-(hexacyanobutadiene-N)-pyridyl-manganese(iii) toluene solvate				black			P21	4	9.4277	20.9727	14.5913	90.0	99.956	90.0	2841.608	9.4277	14.5913	20.9727	90.0	90.0	99.956	2841.608	1420.804	2	2.0	1.0		blocks			6.93	138	1.38	1.38	3				
QIQFUR	P.Thuery, M.Nierlich, J.Vicens, H.Takemura	Polyhedron 	19	2673	2000	C90 H84 Cl6 N6 O6 Yb1 3+,3(C1 F3 O3 S1 1-),3(C2 H3 N1)	bis(p-Chloro-N-benzylhexahomotriazacalix(3)arene-O,O',O'')-ytterbium(ii i) tris(trifluoromethanesulfonate) acetonitrile solvate				colorless			P-1	2	13.0501	14.9337	15.0187	75.412	71.785	75.896	2646.968	13.0501	14.9337	15.0187	75.412	71.785	75.896	2646.968	2646.968	3	1.0	0.5		irregular			5.57	110	1.444	1.444	3				
QIQKAF	U.Manna, G.Das	New J.Chem. 	42	19164	2018	C27 H30 Cl3 N7 O3	N,N',N''-[nitrilotris(ethane-2,1-diyl)]tris[N'-(4-chlorophenyl)urea]				colorless			P-1	2	9.4221	12.9875	13.6802	83.836	70.603	70.406	1487.569	9.4221	12.9875	13.6802	83.836	70.603	70.406	1487.569	743.7845	1	2.0	1.0		block			5.13	298	1.355	1.355	3		298 K		
QIRMAI	Yong Hong, Wei Liu	Z.Kristallogr.-New Cryst.Struct. 	233	881	2018	C14 H12 Br1 Cl1 N2 O1	2-[N-(2-aminophenyl)ethanimidoyl]-6-bromo-4-chlorophenol				colorless			P21/c	14	3.9454	24.189	13.728	90.0	90.07	90.0	1310.135	3.9454	13.728	24.189	90.0	90.0	90.07	1310.135	327.53375	1	4.0	1.0		block			5.85	293	1.722	1.727	3		293 K		
QIRNUD	Cao Junyan, Wang Jianlong, Chen Lizhen, Zhang Luyao	Z.Kristallogr.-New Cryst.Struct. 	233	905	2018	C12 H5 Cl2 N5 O7	2-(4-chloro-2,6-dinitrophenyl)-1-(4-chloro-3-nitrophenyl)diazene 1-oxide				colorless			P-1	2	8.2425	8.2814	12.4713	93.37	101.59	118.222	723.034	8.2425	8.2814	12.4713	93.37	101.59	118.222	723.034	361.517	1	2.0	1.0		sheet			5.16	173	1.847	1.847	3				
QIWKIR	Yue Chen, Hongjian Sun, U.Florke, Xiaoyan Li	Organometallics 	27	270	2008	C20 H26 Cl5 Co1 N2 P2	Dichloro-(3-chloro-2-((2-((2,6-dichlorophenyl)methylidene)hydrazinylidene)methyl)phenyl-C,N)-bis(trimethylphosphine)-cobalt(iii)			decomposes above 120deg.C	brown-red			P21/c	14	10.646	17.194	14.953	90.0	101.15	90.0	2685.442	10.646	14.953	17.194	90.0	90.0	101.15	2685.442	671.3605	1	4.0	1.0	diethyl ether				3.35	150	1.466	1.466	3				
QIWMAN	Ting Meng, Qi-Pin Qin, Zi-Lu Chen, Hua-Hong Zou, Kai Wang, Fu-Pei Liang	Eur.J.Med.Chem. 	169	103	2019	C32 H24 Cl4 Lu1 N5 O5	bis(5,7-dichloro-2-methylquinolin-8-olato)-(nitrato)-(4,4'-dimethyl-2,2'-bipyridine)-lutetium				colorless	tested for antitumour activity		Pccn	56	28.897	29.5056	15.9316	90.0	90.0	90.0	13583.654	15.9316	28.897	29.5056	90.0	90.0	90.0	13583.654	848.978375	1	16.0	2.0		block			4.21	293	1.712	1.712	3		293 K		
