[REFCODE]	[_publ_authors]	[_journal_name_full]	[_journal_volume]	[_journal_pages]	[_journal_year]	[_chemical_formula_moiety]	[_chemical_name_systematic]	[_chemical_name_common]	[_chemical_compound_source]	[_chemical_melting_point]	[_exptl_crystal_colour]	[_chemical_QUAL]	[_chemical_NOTE]	[_symmetry_space_group_name]	[_symmetry_Int_Tables_number]	[_cell_length_a]	[_cell_length_b]	[_cell_length_c]	[_cell_angle_alpha]	[_cell_angle_beta]	[_cell_angle_gamma]	[_cell_volume]	[_rcell_length_a]	[_rcell_length_b]	[_rcell_length_c]	[_rcell_angle_alpha]	[_rcell_angle_beta]	[_rcell_angle_gamma]	[_rcell_volume]	[_molecular_volume]	[_cell_RESIDUES]	[_cell_formula_units_Z]	[_cell_formula_units_Zprime]	[_exptl_crystal_preparation]	[_exptl_crystal_description]	[POLYMORPH]	[_exptl_crystal_NOTES]	[_refine_ls_R_factor]	[_cell_measurement_temperature]	[_exptl_crystal_density_CCDC]	[_exptl_crystal_density_diffrn]	[_diffrn_measurement_device]	[_exptl_DISORDER]	[_exptl_QUAL]	[_ccdc_REMARK]	[PREF]	[BATC]	[ADAT]	[MDAT]	[NBSI]	[CDRE]	[MSDB]	[NBIT]	[MATF]	[CATF]	[CCOM]	[_ccdc_NOTES]	[_ccdc_RMARKS]	[_ccdc_QUAL]	[_ccdc_PROPS]	
MALLUI	T.Janssen, R.Severin, M.Diekmann, M.Friedemann, D.Haase, W.Saak, S.Doye, R.Beckhaus	Organometallics 	29	1806	2010	C60 H54 N2 Ti1,C6 H14	bis(Naphthalene-1-amido)-bis(eta$5!-(bis(p-tolyl)methyl)cyclopentadienyl)-titanium hexane solvate				brown			P21/c	14	33.399	18.5238	17.2508	90.0	90.453	90.0	10672.329	17.2508	18.5238	33.399	90.0	90.453	90.0	10672.329	1334.041125	2	8.0	2.0		plate			4.56	153	1.167	1.166	3				Y8250308	928	20110407	20110407	0	0	0	96	3	3			"CCDC: CCDC 759006 "DOI: 10.1021/om100056q	"TEMP: at 153 K	"COLOR: brown "HABIT: plate	
MAMKUI	M.A.Garcia-Monforte, P.J.Alonso, I.Ara, B.Menjon, P.Romero	Angew.Chem.,Int.Ed. 	51	2754	2012	C30 F25 Sb1,0.25(C6 H14)	pentakis(Pentafluorophenyl)stiborane n-hexane solvate				colorless			P-1	2	11.042	11.33	14.1728	76.135	69.095	84.21	1607.89	11.042	11.33	14.1728	76.135	69.095	84.21	1607.89	803.945	2	2.0	1.0		block			3.41	100	2.021	2.021	3				MAMKUI	971	20120424	20160329	0	0	0	69	3	3			"CCDC: CCDC 856956 "DOI: 10.1002/anie.201108858	"TEMP: at 100 K	"COLOR: colorless "HABIT: block	
MANBEJ	N.M.Scott, R.Kempe	Eur.J.Inorg.Chem. 		1319	2005	C56 H76 N5 Nd1 Si2,C6 H14	bis(N-(2,6-Di-isopropylphenyl)-N-(6-(2,6-dimethylphenyl)pyrid-2-yl)amido-N,N')-(bis(trimethylsilyl)amido-N)-neodymium n-hexane solvate				pale blue			P21/c	14	12.489	26.656	18.905	90.0	97.121	90.0	6245.057	12.489	18.905	26.656	90.0	90.0	97.121	6245.057	1561.26425	2	4.0	1.0					3.37	193	1.176	1.176	3				L4250503	632	20050804	20050804	0	0	0	155	3	3			"CCDC: CCDC 251809 "DOI: 10.1002/ejic.200400823	"TEMP: at 193 K	"COLOR: pale blue	
MAQSII	K.Izod, E.R.Clark, W.Clegg, R.W.Harrington	Organometallics 	31	246	2012	C28 H52 P2 S2 Si4 Sn1,0.5(C6 H14)	bis((bis(trimethylsilyl)methyl)(2-(methylsulfanyl)phenyl)phosphinato)-tin(ii) n-hexane solvate				yellow			P21/c	14	10.4746	21.3062	18.4807	90.0	102.3116	90.0	4029.559	10.4746	18.4807	21.3062	90.0	90.0	102.3116	4029.559	1007.38975	2	4.0	1.0		block			2.3	150	1.3	1.3	3				MAQSII	973	20120521	20160715	0	0	0	116	3	3			"CCDC: CCDC 874540 "DOI: 10.1021/om2008327	"TEMP: at 150 K	"COLOR: yellow "HABIT: block	
MASLID	A.Kunishita, T.L.Gianetti, J.Arnold	Organometallics 	31	372	2012	C33 H35 B1 Co1 N6,0.5(C6 H14)	(Hydrogen tris(5-methyl-3-phenylpyrazolyl)borate-N,N',N'')-n-propyl-cobalt(ii) n-hexane solvate				green			P-1	2	11.6384	12.4908	13.1361	75.466	73.368	63.658	1622.569	11.6384	12.4908	13.1361	75.466	73.368	63.658	1622.569	811.2845	2	2.0	1.0		rod			4.46	100	1.286	1.272	3				MASLID	974	20120531	20160726	0	0	0	168	3	3			"CCDC: CCDC 874583 "DOI: 10.1021/om200973x	"TEMP: at 100 K	"COLOR: green "HABIT: rod	
MASLUP	A.Kunishita, T.L.Gianetti, J.Arnold	Organometallics 	31	372	2012	C34 H37 B1 Co1 N6,0.5(C6 H14)	n-Butyl-(hydrogen tris(5-methyl-3-phenylpyrazolyl)borate-N,N',N'')-cobalt(ii) n-hexane solvate				green			P-1	2	11.5234	11.6942	15.5674	72.998	77.676	60.973	1747.707	11.5234	11.6942	15.5674	72.998	77.676	60.973	1747.707	873.8535	2	2.0	1.0		plate			4.94	100	1.221	1.221	3				MASLUP	974	20120531	20160726	0	0	0	168	3	3			"CCDC: CCDC 874585 "DOI: 10.1021/om200973x	"TEMP: at 100 K	"COLOR: green "HABIT: plate	
MASROQ	V.Varga, K.Mach, J.Pinkas, J.Kubista, K.Szarka, R.Gyepes	J.Mol.Struct. 	1142	248	2017	C30 H45 O2 Ti1 1+,C19 H3 B1 F15 1-,0.5(C6 H14)	(eta$5!-pentamethylcyclopentadienyl)-bis(tricyclo[3.3.1.1$3,7!]decan-1-olato)-titanium methyl[tris(pentafluorophenyl)]borate n-hexane solvate				orange			P21/c	14	21.1017	10.3157	22.2343	90.0	95.537	90.0	4817.353	10.3157	21.1017	22.2343	95.537	90.0	90.0	4817.353	1204.33825	3	4.0	1.0		prism			4.09	150	1.456	1.456	3				MASROQ	0	20170425	20170503	0	0	0	124	3	3			"CCDC: CCDC 1533569 "DOI: 10.1016/j.molstruc.2017.04.072	"TEMP: 150 K	"COLOR: orange "HABIT: prism	
MAVBAM	R.J.Butcher, D.L.Clark, J.C.Gordon, J.G.Watkin	J.Organomet.Chem. 	577	228	1999	C42 H65 O3 Sm1,C6 H14	(eta$5!-Pentamethyl-cyclopentadienyl)-bis(2,6-di-t-butylphenoxy)-(tetrahydrofuran-O)-samarium n-hexane solvate				yellow			P212121	19	13.962	15.779	20.621	90.0	90.0	90.0	4542.938	13.962	15.779	20.621	90.0	90.0	90.0	4542.938	1135.7345	2	4.0	1.0		rectangular block			4.91	203	1.249	1.249	3				D3390401	399	20001002	20020713	727966	0	0	108	3	3			"DOI: 10.1016/S0022-328X(98)01046-8	"TEMP: at -70deg.C	"COLOR: yellow "HABIT: rectangular block	
MEBCON	M.P.Weberski Junior, C.Chen, M.Delferro, T.J.Marks	Chem.-Eur.J. 	18	10715	2012	C64 H48 F24 N2 Ni2 O2 P2,0.5(C6 H14)	(mu!2$-(2,7-bis(2,6-(3,5-bis(trifluoromethyl)phenyl)imino)methyl)-1,8-naphthalenediolato)-dimethyl-bis(trimethylphosphine)-nickel(ii) hexane solvate				orange		Air-, moisture-, heat- and oxygen-sensitive	P-1	2	12.8901	14.2341	19.989	91.731	91.284	113.455	3360.614	12.8901	14.2341	19.989	91.731	91.284	113.455	3360.614	1680.307	2	2.0	1.0		block			4.68	100	1.537	1.537	3				O4991403	991	20130114	20130114	0	0	0	181	3	3			"CCDC: CCDC 869750 "DOI: 10.1002/chem.201200713	"TEMP: at 100 K	"COLOR: orange "HABIT: block "SENS: Air-, moisture-, heat- and oxygen-sensitive	
MEFNOD	Guang-Ri Xu, Lu Liu, Hui-Ling Gao, Jing-Yan Shang, Chang-Gong Li	J.Coord.Chem. 	70	2684	2017	C47 H38 Fe3 O4 P2 Se2,0.5(C6 H14),C1 H2 Cl2	(mu-2-phenylpropane-1,3-diselenolato)-(mu-ferrocen-1,1'-diylbis(diphenylphosphine))-tetracarbonyl-di-iron dichloromethane hexane solvate				red		Air-sensitive,Oxygen-sensitive,Photo-sensitive	P-1	2	11.0427	12.7236	18.499	95.306	91.984	106.352	2478.331	11.0427	12.7236	18.499	95.306	91.984	106.352	2478.331	1239.1655	3	2.0	1.0					4.05	291	1.584	1.584	3		291.1 K		MEFNOD	0	20170829	20171006	0	0	0	157	3	3			"CCDC: CCDC 1472815 "DOI: 10.1080/00958972.2017.1356921	"TEMP: 291.1 K	"COLOR: red "SENS: Air-sensitive,Oxygen-sensitive,Photo-sensitive	
MEMRIF	Wen-Yann Yeh, Ching-Chao Yang, Shie-Ming Peng, Gene-Hsiang Lee	J.Chem.Soc.,Dalton Trans. 		1649	2000	C34 H23 N2 O8 Os3 P1,0.5(C6 H14)	(mu!3$-N-(2-(Diphenylphosphino)benzylidyne)-N-(2-(2-pyridyl)ethyl)amine-C,N,N',P)-(mu!2$-hydrido)-octacarbonyl-triosmium hexane solvate				brown			P-1	2	9.572	10.6385	20.2534	79.228	88.699	68.027	1876.394	9.572	10.6385	20.2534	79.228	88.699	68.027	1876.394	938.197	2	2.0	1.0		plate			3.1	295	2.181	2.179	3			the hydride ligand was not located	E4830603	401	20001025	20020713	729414	0	0	195	3	3			"CCDC: CCDC 137724 "JSUP: 186/1901 "REMARK: the hydride ligand was not located "DOI: 10.1039/a910260o		"COLOR: brown "HABIT: plate	
MENFAM	F.Meiners, W.Saak, M.Weidenbruch	Organometallics 	19	2835	2000	C64 H94 Ge2,C6 H14	5,8-bis(bis(2-t-Butyl-4,5,6-trimethylphenyl)germylene)-dodeca-6-yne hexane solvate			160 deg.C	dark red			C2/c	15	26.886	9.8551	25.1679	90.0	101.254	90.0	6540.367	9.8551	14.31765	25.1679	100.5584	90.0	110.1305	3270.183	1635.09175	2	4.0	0.5		needle			3.5	193	1.112	1.112	3				E5131301	401	20001025	20020713	729465	0	0	99	3	3			"CCDC: CCDC 141238 "DOI: 10.1021/om000284w	"TEMP: at 193 K	"MP: 160 deg.C "COLOR: dark red "HABIT: needle	
MENLOG	S.Bellemin-Laponnaz, K.S.Coleman, P.Dierkes, J.-P.Masson, J.A.Osborn	Eur.J.Inorg.Chem. 		1645	2000	C25 H39 Mo1 N1 O4,0.5(C6 H14)	bis(2,6-bis((-)-3-oxy-3-menthyl)pyridine)-dioxo-molybdenum(vi) hexane solvate				colorless	absolute configuration		P212121	19	14.026	16.512	24.694	90.0	90.0	90.0	5719.064	14.026	16.512	24.694	90.0	90.0	90.0	5719.064	714.883	2	8.0	2.0	hexane/dichloromethane	prism			5.0	173	1.293	1.29	3		absolute configuration		E5141402	401	20001025	20020713	729493	0	0	177	3	3			"CCDC: CCDC 137163 "DOI: 10.1002/1099-0682(200007)2000:7<1645::AID-EJIC1645>3.0.CO;2-H	"TEMP: at 173 K "ABS-CONFIG: absolute configuration	"COLOR: colorless "HABIT: prism "SOURCE-CHEM: hexane/dichloromethane	
MEYPAH	M.S.Samuel, M.C.Jennings, K.M.Baines	J.Organomet.Chem. 	636	130	2001	C54 H66 Ge3 O2,C6 H14	2,2,4,4,5,5-Hexamesityl-2,4,5-trigermadioxolane hexane solvate			302-303 deg.C	colorless	irradiated product		P-1	2	12.8435	13.0922	16.266	83.2037	85.2049	83.0911	2689.5	12.8435	13.0922	16.266	83.2037	85.2049	83.0911	2689.5	1344.75	2	2.0	1.0		block			2.96	150	1.298	1.298	3				G0950501	464	20020408	20020713	776751	0	0	125	3	3			"CCDC: CCDC 158909 "DOI: 10.1016/S0022-328X(01)01040-3	"TEMP: at 150 K "OTHER-EXP: irradiated product	"MP: 302-303 deg.C "COLOR: colorless "HABIT: block	
MIBRUL	Shaowu Wang, Shaoyin Wang, Shuangliu Zhou, Gaosheng Yang, Wei Luo, Nan Hu, Zhihong Zhou, Hai-Bin Song	J.Organomet.Chem. 	692	2099	2007	C36 H50 Eu1 O2 Si2,0.5(C6 H14)	bis(eta$5!-1-((tetrahydro-2H-pyran-2-yl)methyl)-3-(trimethylsilyl)indenyl)-europium(ii) hexane solvate						air- and moisture-sensitive	I-42d	122	21.2573	21.2573	20.8881	90.0	90.0	90.0	9438.764	18.3034	18.3034	18.3034	109.0015	109.0015	110.4149	4719.374	1179.8455	2	8.0	0.5					4.92	294	1.078	1.078	3		at 294 K		Q5350401	756	20070820	20070820	0	0	0	123	3	3			"CCDC: CCDC 625771 "DOI: 10.1016/j.jorganchem.2007.01.029	"TEMP: at 294 K	"SENS: air- and moisture-sensitive	
MIHNEZ	F.S.W.Aicher, K.Eichele, H.Schubert, L.Wesemann	Organometallics 	37	1773	2018	C86 H110 N2 Sn2,C6 H14	bis(mu-phenylmethaniminium)-bis(2,2'',4,4'',6,6''-hexa-isopropyl-1,1':3',1''-terphenyl-2'-yl)-di-tin n-hexane solvate				red			P-1	2	14.3802	14.5516	22.928	102.176	98.177	114.422	4125.922	14.3802	14.5516	22.928	102.176	98.177	114.422	4125.922	2062.961	2	2.0	1.0		prism			3.69	173	1.204	1.204	3				MIHNEZ	0	20180530	20180614	0	0	0	144	3	3			"CCDC: CCDC 1829223 "DOI: 10.1021/acs.organomet.8b00207	"TEMP: 173 K	"COLOR: red "HABIT: prism	
MIKFUI	H.Braunschweig, P.Brenner, A.Muller, K.Radacki, D.Rais, K.Uttinger	Chem.-Eur.J. 	13	7171	2007	C41 H76 B1 Br2 N1 P2 Pt1,0.5(C6 H14)	trans-Bromo-(bromo(piperidino)boryl)-bis(tricyclohexylphosphine)-platinum(ii) n-hexane solvate				colorless			P-1	2	12.8154	13.6144	13.9034	100.409	99.234	102.007	2283.674	12.8154	13.6144	13.9034	100.409	99.234	102.007	2283.674	1141.837	2	2.0	1.0		plate			3.23	173	1.533	1.532	3				R3100104	775	20071205	20071205	0	0	0	106	3	3			"CCDC: CCDC 642771 "DOI: 10.1002/chem.200700539	"TEMP: at 173 K	"COLOR: colorless "HABIT: plate	
MIRFAW	K.Arashiba, S.Kuriyama, K.Nakajima, Y.Nishibayashi	Chem.Commun. 	49	11215	2013	C46 H86 Cl4 Mo2 N4 P4,C6 H14	(mu!2$-Dinitrogen)-tetrachloro-bis(2,6-bis((di-t-butylphosphino)methyl)pyridine)-di-molybdenum n-hexane solvate				purple			P-1	2	12.3345	12.7158	20.165	88.584	86.511	87.074	3152.021	12.3345	12.7158	20.165	88.584	86.511	87.074	3152.021	1576.0105	2	2.0	1.0		block			4.78	173	1.305	1.305	3				MIRFAW	0	20131023	20140619	0	0	0	164	3	3			"CCDC: CCDC 953144 "DOI: 10.1039/C3CC46946H	"TEMP: at 173.1 K	"COLOR: purple "HABIT: block	
MITBEZ	Chen Wang, Weiqing Mao, Li Xiang, Yan Yang, Jian Fang, L.Maron, Xuebing Leng, Yaofeng Chen	Chem.-Eur.J. 	24	13903	2018	C57 H68 N4 P1 S1 Si1 Y1,0.5(C6 H14)	(2-methyl-N-[(triphenylsilyl)ethynyl]propan-2-amino)-(diphenyl(sulfanylidene)phosphanyl)-(N-[2-(dimethylamino)ethyl]-4-{[2,6-di(propan-2-yl)phenyl]imino}pent-2-en-2-amino)-yttrium hexane solvate				colorless			P21/n	14	14.5618	21.0653	18.9613	90.0	104.607	90.0	5628.36	14.5618	18.9613	21.0653	90.0	90.0	104.607	5628.36	1407.09	2	4.0	1.0		block			3.94	130	1.218	1.218	3				MITBEZ	0	20181102	20181112	0	0	0	195	3	3			"CCDC: CCDC 1841746 "DOI: 10.1002/chem.201802791	"TEMP: 130 K	"COLOR: colorless "HABIT: block	
MITBID	Chen Wang, Weiqing Mao, Li Xiang, Yan Yang, Jian Fang, L.Maron, Xuebing Leng, Yaofeng Chen	Chem.-Eur.J. 	24	13903	2018	C57 H68 N4 P1 S1 Si1 Sm1,0.5(C6 H14)	(2-methyl-N-[(triphenylsilyl)ethynyl]propan-2-amino)-(diphenyl(sulfanylidene)phosphanyl)-(N-[2-(dimethylamino)ethyl]-4-{[2,6-di(propan-2-yl)phenyl]imino}pent-2-en-2-amino)-samarium hexane solvate				yellow			P21/n	14	14.5844	21.0687	18.9896	90.0	104.798	90.0	5641.483	14.5844	18.9896	21.0687	90.0	90.0	104.798	5641.483	1410.37075	2	4.0	1.0		block			2.85	130	1.288	1.288	3				MITBID	0	20181102	20181112	0	0	0	195	3	3			"CCDC: CCDC 1841747 "DOI: 10.1002/chem.201802791	"TEMP: 130 K	"COLOR: yellow "HABIT: block	
MITBOJ	Chen Wang, Weiqing Mao, Li Xiang, Yan Yang, Jian Fang, L.Maron, Xuebing Leng, Yaofeng Chen	Chem.-Eur.J. 	24	13903	2018	C43 H61 N3 P1 S1 Si2 Sm1,C6 H14	(N$4!-[2-(dimethylamino)ethyl]-N$2!-[2,6-bis(propan-2-yl)phenyl]pent-2-ene-2,4-diaminato)-((diphenylphosphorothioyl)(phenylsilyl)(trimethylsilyl)methyl)-samarium hexane solvate				orange			P21/n	14	13.6973	22.25	17.02	90.0	103.378	90.0	5046.346	13.6973	17.02	22.25	90.0	90.0	103.378	5046.346	1261.5865	2	4.0	1.0		BLOCK			4.53	130	1.284	1.284	3				MITBOJ	0	20181102	20181112	0	0	0	192	3	3			"CCDC: CCDC 1841748 "DOI: 10.1002/chem.201802791	"TEMP: 130 K	"COLOR: orange "HABIT: BLOCK	
MITSOZ	Wylie W.N O., Xiaohui Kang, Yi Luo, Zhaomin Hou	Organometallics 	33	1030	2014	C49 H69 N1 P3 Ru1 Y1,0.5(C6 H14)	bis(mu!2$-hydrido)-(mu!2$-methyl(diphenyl)phosphine)-(eta$5!-pentamethylcyclopentadienyl)-(N-bis(2-(di-isopropylphosphino)-4-methylphenyl)amino)-ruthenium-yttrium n-hexane solvate				yellow			P-1	2	12.4863	13.1993	18.0937	99.594	102.911	113.615	2551.321	12.4863	13.1993	18.0937	99.594	102.911	113.615	2551.321	1275.6605	2	2.0	1.0		needle			3.76	163	1.299	1.299	3				MITSOZ	0	20140313	20150728	0	0	0	162	3	3			"CCDC: CCDC 970683 "DOI: 10.1021/om401216v	"TEMP: 163 K	"COLOR: yellow "HABIT: needle	
MITTAM	Wylie W.N O., Xiaohui Kang, Yi Luo, Zhaomin Hou	Organometallics 	33	1030	2014	C49 H69 Ho1 N1 P3 Ru1,0.5(C6 H14)	bis(mu!2$-hydrido)-(mu!2$-methyl(diphenyl)phosphine)-(eta$5!-pentamethylcyclopentadienyl)-(N-bis(2-(di-isopropylphosphino)-4-methylphenyl)amino)-holmium-ruthenium n-hexane solvate				yellow			P-1	2	12.525	13.197	18.157	99.566	102.976	113.597	2567.482	12.525	13.197	18.157	99.566	102.976	113.597	2567.482	1283.741	2	2.0	1.0		block			3.24	163	1.389	1.389	3				MITTAM	0	20140313	20150728	0	0	0	162	3	3			"CCDC: CCDC 970684 "DOI: 10.1021/om401216v	"TEMP: 163 K	"COLOR: yellow "HABIT: block	
MITTIU	Wylie W.N O., Xiaohui Kang, Yi Luo, Zhaomin Hou	Organometallics 	33	1030	2014	C49 H69 Dy1 N1 P3 Ru1,0.5(C6 H14)	bis(mu!2$-hydrido)-(mu!2$-methyl(diphenyl)phosphine)-(eta$5!-pentamethylcyclopentadienyl)-(N-bis(2-(di-isopropylphosphino)-4-methylphenyl)amino)-dysprosium-ruthenium hexane solvate				yellow			P-1	2	12.5336	13.2381	18.2036	99.641	102.993	113.592	2582.517	12.5336	13.2381	18.2036	99.641	102.993	113.592	2582.517	2582.517	2	1.0	0.5		plate			3.78	163	0.689	1.378	3				MITTIU	0	20140313	20150728	0	0	0	162	3	3			"CCDC: CCDC 970685 "DOI: 10.1021/om401216v	"TEMP: 163 K	"COLOR: yellow "HABIT: plate	
MITTUE	T.Toupance, S.R.Dubberley, N.H.Rees, B.R.Tyrrell, P.Mountford	Organometallics 	21	1367	2002	C36 H50 Cl2 N2 O2 Zr1,0.35(C6 H14)	Dichloro-(N-(2-pyridylmethyl)-N,N-bis(2'-hydroxy-3',5'-di-t-butylbenzyl)amine)-zirconium hexane solvate				colorless			C2/c	15	36.344	13.7738	18.1546	90.0	117.4049	90.0	8068.199	13.7738	18.1546	19.43325	115.4932	110.7559	90.0	4034.099	1008.524875	2	8.0	1.0	dichloromethane/hexane	plate			4.26	150	1.21	1.21	3				G3540302	476	20020626	20020713	778399	0	0	161	3	3			"CCDC: CCDC 185308 "DOI: 10.1021/om010982w	"TEMP: at 150 K	"COLOR: colorless "HABIT: plate "SOURCE-CHEM: dichloromethane/hexane	
MIVXAR	Y.Matano, T.Miyajima, N.Ochi, T.Nakabuchi, M.Shiro, Y.Nakao, S.Sakaki, H.Imahori	J.Am.Chem.Soc. 	130	990	2008	C45 H39 N2 O1 P1 Pd1,C6 H14	(2,2,17,17-Tetramethyl-7,12,24-triphenyl-26-oxa-25,27-diaza-24-phosphahexacyclo(16.5.1.1$3,6!.1$8,11!.1$13,16!.0$19,23!)heptacosa-1(23),3,5,7,9,11,13,15,18-nonaene)-palladium(ii) n-hexane solvate	(5,5,10,10-Tetramethyl-7,8-(trimethylene)-15,20,22-triphenyl-22-phospha-24-oxacalix(4)phyrinato)-palladium(ii) n-hexane solvate			red			P-1	2	11.056	13.536	14.851	108.605	93.413	100.105	2057.738	11.056	13.536	14.851	108.605	93.413	100.105	2057.738	1028.869	2	2.0	1.0		block			3.67	123	1.368	1.367	3				S2510505	803	20080605	20080605	0	0	0	152	3	3			"CCDC: CCDC 678720 "DOI: 10.1021/ja076709o	"TEMP: at 123 K	"COLOR: red "HABIT: block	
MIWLEM	U.Albold, C.Hoyer, N.I.Neuman, S.Sobottka, A.S.Hazari, G.K.Lahiri, B.Sarkar	Inorg.Chem. 	58	3754	2019	C84 H62 Cu2 Fe2 O4 P4 2+,C6 H14,4(C6 H4 Cl2),2(B1 F4 1-)	(mu-pyrene-4,5,9,10-tetrone)-bis(1,1'-bis(diphenylphosphino)ferrocene)-di-copper(i) bis(tetrafluoroborate) 1,2-dichlorobenzene hexane solvate				green		Air-sensitive,Moisture-sensitive	P21/n	14	16.025	15.6444	20.3761	90.0	95.994	90.0	5080.391	15.6444	16.025	20.3761	95.994	90.0	90.0	5080.391	2540.1955	4	2.0	0.5		plate			4.95	100	1.533	1.533	3				MIWLEM	0	20190226	20190328	0	0	0	194	3	3			"CCDC: CCDC 1852093 "DOI: 10.1021/acs.inorgchem.8b03362	"TEMP: 100 K	"COLOR: green "HABIT: plate "SENS: Air-sensitive,Moisture-sensitive	
MIYLAJ	E.W.Y.Wong, Deepak Dange, L.Fohlmeister, T.J.Hadlington, C.Jones	Aust.J.Chem. 	66	1144	2013	C67 H71 Al1 I2 N2,C6 H14	(N,N'-bis(2,6-diisopropyl-4-tritylphenyl)-2,2-dimethylpropanimidamidato)-diiodo-aluminium n-hexane solvate				colorless			P-1	2	12.967	16.068	16.695	89.13	84.59	70.51	3264.051	12.967	16.068	16.695	89.13	84.59	70.51	3264.051	1632.0255	2	2.0	1.0		block			4.75	100	1.293	1.293	3		synchrotron radiation		MIYLAJ	0	20140314	20140715	0	0	0	147	3	3			"CCDC: CCDC 933401 "DOI: 10.1071/CH13175	"TEMP: at 100 K "RADIATION: synchrotron radiation	"COLOR: colorless "HABIT: block	
MOBTEC	N.Avarvari, D.Martin, M.Fourmigue	J.Organomet.Chem. 	643	292	2002	C35 H26 Fe1 O3 P2 S4,0.25(C6 H14)	(3,4-bis(Diphenylphosphino)-3',4'-dimethyltetrathiafulvalene)-tricarbonyl-iron hexane solvate				red			Pbca	61	19.653	21.216	34.82	90.0	90.0	90.0	14518.479	19.653	21.216	34.82	90.0	90.0	90.0	14518.479	907.4049375	2	16.0	2.0		prism			4.56	293	1.395	1.395	3		at 293 K		G3960404	478	20020711	20020713	778987	0	0	141	3	3			"CCDC: CCDC 166274 "DOI: 10.1016/S0022-328X(01)01249-9	"TEMP: at 293 K	"COLOR: red "HABIT: prism	
MODXOS	K.R.Gust, J.E.Knox, M.J.Heeg, H.B.Schlegel, C.H.Winter	Angew.Chem.,Int.Ed. 	41	1591	2002	C33 H57 Fe1 N6,0.5(C6 H14)	tris(3,5-Di-t-butylpyrazolato-N,N')-iron(iii) hexane solvate			229 deg.C(dec.)	red			P-3	147	14.735	14.735	10.704	90.0	90.0	120.0	2012.691	10.704	14.735	14.735	120.0	90.0	90.0	2012.691	1006.3455	2	2.0	0.33		hexagonal drums			4.01	295	1.051	1.049	3		The structure was solved with the inclusion of twinning parameters; at 295 K		G3791602	482	20020821	20030421	779198	0	0	132	3	3			"CCDC: CCDC 175571 "DOI: 10.1002/1521-3773(20020503)41:9<1591::AID-ANIE1591>3.0.CO;2-D	"TEMP: at 295 K "OTHER-DIFF: The structure was solved with the inclusion of twinning parameters	"MP: 229 deg.C(dec.) "COLOR: red "HABIT: hexagonal drums	
MOGBAL	F.E.Inscore, H.K.Joshi, A.E.McElhaney, J.H.Enemark	Inorg.Chim.Acta 	331	246	2002	C21 H24 B1 Cl2 Mo1 N6 O1 S2,0.5(C6 H14)	(3,6-Dichlorobenzene-1,2-dithiolato)-(hydrogen tris(3,5-dimethylpyrazolyl)borato)-oxo-molybdenum(v)			sublimes at 198deg.C	burgundy			P21/c	14	7.963	26.272	14.016	90.0	105.352	90.0	2827.574	7.963	14.016	26.272	90.0	90.0	105.352	2827.574	706.8935	2	4.0	1.0	hexane/dichloromethane	plate			4.42	173	1.553	1.553	3				G4240901	482	20020821	20020821	779299	0	0	171	3	3			"CCDC: CCDC 174598 "DOI: 10.1016/S0020-1693(01)00817-9	"TEMP: at 173 K	"MP: sublimes at 198deg.C "COLOR: burgundy "HABIT: plate "SOURCE-CHEM: hexane/dichloromethane	
MOSCUT	T.Yamada, A.Mawatari, M.Tanabe, K.Osakada, T.Tanase	Angew.Chem.,Int.Ed. 	48	568	2009	C54 H78 P6 Pd4 Si3,C6 H14	tris(mu!3$-diphenylsilylene)-tris(1,2-bis(dimethylphosphino)ethane)-tetra-palladium n-hexane solvate				red			P21/c	14	13.6136	27.398	18.687	90.0	99.218	90.0	6879.968	13.6136	18.687	27.398	90.0	90.0	99.218	6879.968	1719.992	2	4.0	1.0		prism			2.95	113	1.457	1.457	3				V1571201	858	20090623	20090623	0	0	0	128	3	3			"CCDC: CCDC 702935 "DOI: 10.1002/anie.200804728	"TEMP: at 113.1 K	"COLOR: red "HABIT: prism	
MOSDAA	T.Yamada, A.Mawatari, M.Tanabe, K.Osakada, T.Tanase	Angew.Chem.,Int.Ed. 	48	568	2009	C78 H148 P14 Pd8 Si6,2(C6 H14)	hexakis(mu!3$-phenylsilylene)-(mu!2$-1,2-bis(dimethylphosphino)ethane)-hexakis(1,2-bis(dimethylphosphino)ethane)-octa-palladium n-hexane solvate				red			P21/c	14	14.2312	18.514	22.498	90.0	98.0472	90.0	5869.323	14.2312	18.514	22.498	90.0	98.0472	90.0	5869.323	2934.6615	2	2.0	0.5		prism			4.13	113	1.534	1.534	3				V1571202	858	20090623	20090623	0	0	0	129	3	3			"CCDC: CCDC 702937 "DOI: 10.1002/anie.200804728	"TEMP: at 113.1 K	"COLOR: red "HABIT: prism	
